c 1 1
129.0: -40,145.0: -34,36.0: -36,
129.0: -41,145.0: -39,36.0: -43,
c 8 1
129.0: -43,145.0: -36,36.0: -43,
129.0: -41,145.0: -39,36.0: -39,
129.0: -43,145.0: -37,36.0: -39,
129.0: -52,145.0: -35,36.0: -33,
129.0: -42,145.0: -34,36.0: -40,
129.0: -41,145.0: -38,36.0: -38,
129.0: -41,145.0: -37,36.0: -39,
129.0: -46,145.0: -37,36.0: -34,
129.0: -47,145.0: -36,36.0: -34,
129.0: -41,145.0: -38,36.0: -36,
129.0: -42,145.0: -37,36.0: -35,
129.0: -45,145.0: -39,36.0: -35,
c 8 2
129.0: -50,145.0: -42,36.0: -34,
129.0: -51,145.0: -48,36.0: -34,
129.0: -45,145.0: -44,36.0: -30,
129.0: -50,145.0: -40,36.0: -34,
129.0: -46,145.0: -39,36.0: -34,
129.0: -40,145.0: -35,36.0: -37,
129.0: -44,145.0: -32,36.0: -34,
129.0: -48,145.0: -39,36.0: -35,
129.0: -44,145.0: -38,36.0: -31,
